Window Size,SampleRTT,EstimatedRTT,DevRTT,Time (t)
1,0,1,0,0
1,0.002152000088245,0.875268995761871,0.218279257416725,0.00287099997513
2,0.002196999965236,0.766134977340698,0.354693949222565,0.005865000188351
2,0.001366000040434,0.670538902282715,0.4333136677742,0.006976999808103
3,0.003465000074357,0.587154626846314,0.470907658338547,0.010982999578118
3,0.001979999942705,0.514007806777954,0.481187701225281,0.012849999591708
3,0.001212000031956,0.449908345937729,0.473064869642258,0.013892999850214
4,0.005320999771357,0.39433491230011,0.452052116394043,0.01978100091219
4,0.001910999999382,0.345281928777695,0.424881815910339,0.02156800031662
4,0.001820000004955,0.302349179983139,0.393793672323227,0.023200999945402
4,0.000987999956124,0.264679044485092,0.361268013715744,0.02411700040102
5,0.004428999964148,0.232147783041,0.327880710363388,0.029082000255585
5,0.000930999987759,0.203245684504509,0.296489208936691,0.029923999682069
5,0.000904000014998,0.177952975034714,0.266629129648209,0.030758999288082
5,0.000949000008404,0.155827477574348,0.238691478967667,0.031638998538256
5,0.001031999941915,0.136478036642075,0.212880119681358,0.032593999058008
6,0.008251000195742,0.120449662208557,0.187709748744965,0.041172001510859
6,0.001463999971747,0.105576455593109,0.166810423135757,0.042518999427557
6,0.001062000053935,0.092512145638466,0.147970363497734,0.043483998626471
6,0.000855999998748,0.081055127084255,0.131027549505234,0.044270999729633
6,0.000844999973197,0.071028865873814,0.115816630423069,0.045051999390125
6,0.00094200001331,0.062268003821373,0.102193973958492,0.045928001403809
7,0.004759000148624,0.055079378187656,0.089225575327873,0.051444999873638
7,0.000959000026342,0.048314332962036,0.078758016228676,0.052317999303341
7,0.00099400000181,0.042399290949106,0.069419831037521,0.05324500054121
7,0.001270000007935,0.037258129566908,0.061061907559633,0.054425999522209
7,0.001197000034153,0.032750487327576,0.053684800863266,0.055544998496771
7,0.001004999969155,0.028782302513719,0.047207929193974,0.05647100135684
7,0.000905000022613,0.025297639891505,0.041504107415676,0.057301998138428
8,0.005485999863595,0.022821184247732,0.035461876541376,0.06317699700594
8,0.001016999944113,0.020095661282539,0.03136607259512,0.064120002090931
8,0.001139999949373,0.017726203426719,0.027671104297042,0.065200999379158
8,0.001030000043102,0.015639178454876,0.024405622854829,0.066136002540588
8,0.00105199997779,0.013815781101585,0.021495163440704,0.067125000059605
8,0.001199000049382,0.012238683179021,0.018881293013692,0.068233996629715
8,0.001540999975987,0.010901472531259,0.01650108769536,0.06972000002861
8,0.001692999969237,0.009750413708389,0.014390169642866,0.071254998445511
9,0.017327999696136,0.010697612538934,0.012450223788619,0.089541003108025
9,0.001814999966882,0.009587286040187,0.011280739679933,0.091105997562409
9,0.001842999947257,0.008619249798357,0.010154617018998,0.092587999999523
9,0.001898000016809,0.007779093459249,0.009086236357689,0.094397999346256
9,0.002421000041068,0.007109331898391,0.007986759766936,0.096528999507427
9,0.001764000044204,0.006441165693104,0.007159361615777,0.098187997937203
9,0.001861999975517,0.005868769716471,0.006371213588864,0.099872998893261
9,0.001796000055037,0.005359673406929,0.005669328384101,0.101579003036022
9,0.002326000016183,0.004980464465916,0.004915612284094,0.103652998805046
10,0.009016999974847,0.005485031288117,0.004569701384753,0.113672003149986
10,0.001016999944113,0.004926527384669,0.004404657986015,0.114610001444817
10,0.001358999987133,0.004480586387217,0.004083890002221,0.11591300368309
10,0.001205999986269,0.004071263130754,0.003779233433306,0.117003999650478
10,0.001121000037529,0.003702480345964,0.003479795064777,0.118045002222061
10,0.001075000036508,0.003374045249075,0.00318460771814,0.119025997817516
10,0.001306000049226,0.003115539671853,0.002840840723366,0.120286002755165
10,0.001383999944665,0.002899097045884,0.00250940467231,0.121472999453545
10,0.001023999997415,0.002664709929377,0.002292230958119,0.122422002255917
10,0.00128800002858,0.002492621308193,0.002020328538492,0.123352997004986
11,0.013073000125587,0.003815168514848,0.003829704364762,0.136740997433662
11,0.001993000041693,0.003587397513911,0.00327087752521,0.138657003641129
11,0.001456000027247,0.003320972900838,0.002919401507825,0.139962002635002
11,0.001132000004873,0.003047351259738,0.002668388886377,0.140977993607521
11,0.001359999994747,0.002836432307959,0.002370399655774,0.142261996865273
11,0.001280999975279,0.002642003353685,0.002118050586432,0.143442004919052
11,0.001140999956988,0.00245437794365,0.001916882465594,0.144501000642777
11,0.001215000054799,0.002299455692992,0.001708775758743,0.145653992891312
11,0.001396000036038,0.002186523750424,0.001479212776758,0.14690600335598
11,0.001026000012644,0.002041458152235,0.001363274059258,0.14784400165081
11,0.001108999946155,0.00192490092013,0.001226430758834,0.148882001638412
